Flag N d M NbThreads AvgTime Probability
1 100 0.460 1 2 4 1.000
1 100 0.480 1 2 4 1.000
1 100 0.500 1 2 4 1.000
1 100 0.520 1 2 4 1.000
1 100 0.540 1 2 4 1.000
1 100 0.560 1 2 4 1.000
1 100 0.580 1 2 5 1.000
1 100 0.600 1 2 5 1.000
1 100 0.620 1 2 5 1.000
1 100 0.640 1 2 5 1.000
1 100 0.660 1 2 5 1.000
1 100 0.680 1 2 5 1.000
1 100 0.700 1 2 5 1.000
1 100 0.720 1 2 5 1.000
1 100 0.740 1 2 5 1.000
1 100 0.760 1 2 5 1.000
1 100 0.780 1 2 5 1.000
1 100 0.800 1 2 5 1.000
1 100 0.820 1 2 5 1.000
1 100 0.840 1 2 5 1.000
1 100 0.860 1 2 5 1.000
1 100 0.880 1 2 5 1.000
1 100 0.900 1 2 5 1.000
1 100 0.920 1 2 5 1.000
1 100 0.940 1 2 5 1.000
1 100 0.960 1 2 5 1.000
1 100 0.980 1 2 5 1.000
1 100 1.000 1 2 5 1.000
1 100 0.000 10 2 3 0.000
1 100 0.020 10 2 3 0.000
1 100 0.040 10 2 3 0.000
1 100 0.060 10 2 3 0.000
1 100 0.080 10 2 4 0.000
1 100 0.100 10 2 4 0.000
1 100 0.120 10 2 4 0.000
1 100 0.140 10 2 4 0.000
1 100 0.160 10 2 4 0.000
1 100 0.180 10 2 5 0.000
1 100 0.200 10 2 6 0.000
1 100 0.220 10 2 11 1.000
1 100 0.240 10 2 13 1.000
1 100 0.260 10 2 15 1.000
1 100 0.280 10 2 16 1.000
1 100 0.300 10 2 16 1.000
1 100 0.320 10 2 17 1.000
1 100 0.340 10 2 18 1.000
1 100 0.360 10 2 18 1.000
1 100 0.380 10 2 19 1.000
1 100 0.400 10 2 19 1.000
1 100 0.420 10 2 20 1.000
1 100 0.440 10 2 20 1.000
1 100 0.460 10 2 20 1.000
1 100 0.480 10 2 21 1.000
1 100 0.500 10 2 21 1.000
1 100 0.520 10 2 22 1.000
1 100 0.540 10 2 22 1.000
1 100 0.560 10 2 22 1.000
1 100 0.580 10 2 22 1.000
1 100 0.600 10 2 23 1.000
1 100 0.620 10 2 23 1.000
1 100 0.640 10 2 23 1.000
1 100 0.660 10 2 23 1.000
1 100 0.680 10 2 24 1.000
1 100 0.700 10 2 24 1.000
1 100 0.720 10 2 24 1.000
1 100 0.740 10 2 24 1.000
1 100 0.760 10 2 24 1.000
1 100 0.780 10 2 25 1.000
1 100 0.800 10 2 25 1.000
1 100 0.820 10 2 25 1.000
1 100 0.840 10 2 25 1.000
1 100 0.860 10 2 25 1.000
1 100 0.880 10 2 25 1.000
1 100 0.900 10 2 25 1.000
1 100 0.920 10 2 26 1.000
1 100 0.940 10 2 26 1.000
1 100 0.960 10 2 26 1.000
1 100 0.980 10 2 26 1.000
1 100 1.000 10 2 26 1.000
1 100 0.000 100 2 33 0.000
1 100 0.020 100 2 33 0.000
1 100 0.040 100 2 34 0.000
1 100 0.060 100 2 35 0.000
1 100 0.080 100 2 36 0.000
1 100 0.100 100 2 37 0.000
1 100 0.120 100 2 38 0.000
1 100 0.140 100 2 42 0.000
1 100 0.160 100 2 45 0.000
1 100 0.180 100 2 68 0.000
1 100 0.200 100 2 61 0.000
1 100 0.220 100 2 120 1.000
1 100 0.240 100 2 133 1.000
